City;ID;ICAO Code;IATA Code;Type;Airport Name;Latitude (Degrees);Longitude (Degrees);Continent;Local_code
Taganrog;44865;URRT;TGK;medium_airport;Taganrog Yuzhny Airport;47.1983333;38.8491667;EU;--
Tagbilaran City;5747;RPVT;TAG;medium_airport;Tagbilaran Airport;9.665442;123.853533;AS;--
Taggat;325717;PH-0024;--;small_airport;Taggat Airstrip;18.604703;121.061954;AS;--
Taguatinga;38096;SWTY;QHN;small_airport;Taguatinga Airport;-12.43388939;-46.40055466;SA;--
Taharoa;30462;NZTS;THH;small_airport;Taharoa Aerodrome;-38.18109894;174.7079926;OC;--
Tahe;307017;ZYTH;--;small_airport;Tahe Airport;52.22444444;124.7202222;AS;--
Tahlequah;13480;6OK1;--;small_airport;John Reid Airport;36.00149918;-95.00299835;NA;6OK1
Tahlequah;21218;KTQH;--;small_airport;Tahlequah Municipal Airport;35.92890167;-95.00450134;NA;TQH
Tahoka;18580;K2F4;--;small_airport;T Bar Airport;33.17699814;-101.8199997;NA;2F4
Tahoua;2126;DRRT;THZ;medium_airport;Tahoua Airport;14.8757;5.265359879;AF;--
Tahuna-Sangihe Island;26768;WAMH;NAH;medium_airport;Naha Airport;3.683209896;125.5279999;AS;--
Taichung;5520;RCMQ;RMQ;medium_airport;Taichung Ching Chuang Kang Airport;24.26469994;120.6210022;AS;--
Taige;311226;ID-0148;--;small_airport;Taige Airstrip;-1.3105;133.8517;AS;TGE
Taihape;32078;NZVR;--;small_airport;Taihape Airport;-39.68500137;175.7890015;OC;--
Taiki;323957;JP-0052;--;small_airport;Taiki Aerospace Research Airfield;42.499971;143.441759;AS;--
Tailândia;36639;SJJX;--;small_airport;Maca Aero Airport;-2.89805603;-48.95861053;SA;--
Tailândia;37268;SNTP;--;small_airport;Agropalma Airport;-2.525278091;-48.7519455;SA;--
Taimali;326577;TW-0032;--;small_airport;Taimali Airport;22.586871;121.000736;AS;--
Tainan;5522;RCNN;TNN;medium_airport;Tainan Airport;22.9503994;120.2060013;AS;--
Taiobeiras;318496;BR-0110;--;small_airport;Taiobeiras Airstrip;-15.77619;-42.193654;SA;--
Taiobeiras;406;SNTV;--;small_airport;Fazenda Veredão Airport;-15.65530014;-41.65409851;SA;SNTV
Taipas do Tocantins;323673;BR-0202;--;small_airport;Taipas do Tocantins Airstrip;-12.178581;-46.970934;SA;--
Taipei Song Shan;5527;RCSS;TSA;medium_airport;Taipei Songshan Airport;25.06940079;121.552002;AS;--
Taipei Taoyuan;5528;RCTP;TPE;large_airport;Taiwan Taoyuan International Airport;25.0777;121.233002;AS;--
Taiping;32472;WMBI;TPG;small_airport;Taiping (Tekah) Airport;4.867000103;100.7170029;AS;--
Taisha;32477;SETH;TSC;small_airport;Taisha Airport;-2.381669998;-77.50279999;SA;--
Taita Hills;42568;KE-6053;--;small_airport;Taita Hills Airport;-3.512388945;38.25022125;AF;--
Taitapu;43024;NZ-0015;--;small_airport;Taitapu Ag strip;-43.67060089;172.5899963;OC;--
Taitung City;5514;RCFN;TTT;medium_airport;Taitung Airport;22.75499916;121.1019974;AS;--
Taitung City;5525;RCQS;--;medium_airport;Chihhang Air Base;22.79310036;121.1819992;AS;--
Taiyeve;311231;ID-0149;--;small_airport;Taiyeve Airstrip;-3.2331;138.4458;AS;TAV
Taiyuan;27193;ZBYN;TYN;large_airport;Taiyuan Wusu Airport;37.74689865;112.6279984;AS;--
Taji;5299;ORTI;--;medium_airport;Al Taji Army Air Field;33.52389908;44.25669861;AS;--
Tajima;5541;RJBT;TJH;medium_airport;Tajima Airport;35.51279831;134.7870026;AS;--
Takabba;42617;KE-6649;--;small_airport;Takabba Airport;3.426179;40.229733;AF;--
Takamatsu;5601;RJOT;TAK;medium_airport;Takamatsu Airport;34.21419907;134.0160065;AS;--
Takar;311233;ID-0150;--;small_airport;Takar Airstrip;-2.0375;139.113;AS;--
Takengon;333093;WITK;TXE;medium_airport;Rembele Airport;4.720833;96.849444;AS;--
Takotna;5415;PATL;TLJ;medium_airport;Tatalina LRRS Airport;62.89440155;-155.977005;NA;TLJ
Takotna;24808;TCT;TCT;small_airport;Takotna Airport;62.993206;-156.029026;NA;TCT
Taksimo;43003;RU-0056;--;small_airport;Taksimo Airport;56.36166763;114.9300003;AS;--
Takume;32050;NTKM;TJN;small_airport;Takume Airport;-15.85470009;-142.2680054;OC;--
Talagante;39127;SCEG;--;small_airport;El Corte Airport;-33.70999908;-70.91305542;SA;--
Talakan;327559;UECT;TLK;small_airport;Talakan Airport;59.876389;111.044444;EU;--
Talamanca;41989;MRSH;--;small_airport;Shiroles Airport;9.580769539;-82.9598999;NA;--
Talang Gudang-Sumatra Island;26856;WIPQ;PDO;medium_airport;Pendopo Airport;-3.286070108;103.8799973;AS;--
Talara;6241;SPYL;TYL;medium_airport;Capitan Montes Airport;-4.576640129;-81.25409698;SA;--
Talas;41537;KG-0004;--;small_airport;Talas Airport;42.50590134;72.26309967;AS;--
Talasea;314791;AYVL;TLW;small_airport;Talasea Airport;-5.2726;150.0089;OC;TLS
Talbakul;312139;AYTL;--;small_airport;Talbakul Airstrip;-6.3708;144.7167;OC;TLK
Talbotton;10464;3GA1;--;small_airport;Prattsburg Airport;32.72510147;-84.35829926;NA;3GA1
Talbotton;17481;GA08;--;small_airport;Jumpin J Airport;32.69179916;-84.49710083;NA;GA08
Talca;6044;SCTL;TLX;medium_airport;Panguilemo Airport;-35.37779999;-71.60169983;SA;--
Taldom;45003;RU-0245;--;small_airport;Nikitino Airfield;56.806;37.69;EU;--
Taldom;329766;RU-0492;--;small_airport;Taldom airstrip;56.7397979;37.6042247;EU;--
Taldykorgan;41868;KZ-0016;TDK;medium_airport;Taldykorgan Airport;45.12620163;78.4469986;AS;--
Talek;318833;KE-0204;--;small_airport;Weavers Airstrip;-1.363068;35.189882;AF;--
Talihina;18984;6F1;--;small_airport;Talihina Municipal Airport;34.70780182;-95.07379913;NA;6F1
Talimardzhan;41736;UZ-0049;--;small_airport;Talimardzhan Airport;38.30799866;65.55339813;AS;--
Talismã;322541;BR-0144;--;small_airport;Talismã Airport;-12.804638;-49.091759;SA;--
Talkeetna;8821;21AK;--;small_airport;Montana Creek Airport;62.07170105;-150.0690002;NA;21AK
Talkeetna;9295;2AK7;--;small_airport;Bald Mountain Airport;62.30739975;-149.7519989;NA;2AK7
Talkeetna;10364;3AK3;--;small_airport;Songlo Vista Airport;62.56380081;-150.220993;NA;3AK3
Talkeetna;318193;45AA;--;small_airport;Davidson Strip Airport;62.1628972;-150.5396083;NA;45AA
Talkeetna;11273;49AK;--;small_airport;Secluded Lake Airport;62.0245018;-149.977005;NA;49AK
Talkeetna;45276;51AK;--;small_airport;Birch Creek Landing;62.242289;-150.065814;NA;51AK
Talkeetna;45263;AA00;--;small_airport;Shump Airport;62.51015;-149.926717;NA;AA00
Talkeetna;325115;AA09;--;small_airport;Busch Creek Airport;62.477502;-147.774722;NA;AA09
Talkeetna;16114;AK19;--;small_airport;Carl's Landing Airport;62.1739006;-150.0639954;NA;AK19
Talkeetna;16136;AK44;--;small_airport;Talkeetna Village Strip;62.31890106;-150.1159973;NA;AK44
Talkeetna;16154;AK61;--;small_airport;Stephan Lake Lodge Airport;62.69960022;-148.9069977;NA;AK61
Talkeetna;24910;PATK;TKA;medium_airport;Talkeetna Airport;62.32049942;-150.0939941;NA;TKA
Tall Afar;5298;ORTF;--;medium_airport;Tall Afar Army Air Field;36.28310013;42.40299988;AS;--
Talladega;329057;8AL2;--;small_airport;Charles C Killough Field;33.355426;-86.262135;NA;8AL2
Talladega;19313;KASN;ASN;small_airport;Talladega Municipal Airport;33.56990051;-86.05090332;NA;ASN
Tallahasse;45344;FA25;--;small_airport;Black Creek Pass Airport;30.50095;-84.0781;NA;FA25
Tallahassee;11952;53FD;--;small_airport;Charlotte's Field;30.47750092;-84.03469849;NA;53FD
Tallahassee;17420;FL52;--;small_airport;Angel's Field;30.4810009;-84.08679962;NA;FL52
Tallahassee;3924;KTLH;TLH;large_airport;Tallahassee Regional Airport;30.39649963;-84.35030365;NA;TLH
Tallassee;18760;K41A;--;small_airport;Reeves Airport;32.51470184;-85.87599945;NA;41A
Tallinn;2301;EETN;TLL;large_airport;Lennart Meri Tallinn Airport;59.41329956;24.83279991;EU;--
Tallulah;15797;9LS5;--;small_airport;Red Beard Dusting Service Airport;32.28350067;-91.12789917;NA;9LS5
